Price,Close,Volume,Adj_Close,Returns,MA_7,MA_30,RSI,Volatility
Ticker,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,
1981-09-01,0.09542399644851685,37027200,0.07308213412761688,0.06210824347548893,0.067404072199549,0.07788307170073192,35.21193881218805,0.033338306437750286
1981-09-02,0.09709800034761429,19376000,0.07436419278383255,0.017542709603648454,0.06880835230861392,0.0777833566069603,41.17638765092385,0.03272013435185749
1981-09-03,0.09207600355148315,37475200,0.07051796466112137,-0.051721507068485106,0.06941885501146317,0.07748418326179186,37.83809377981414,0.033986623494645575
1981-09-04,0.09096000343561172,15254400,0.06966326385736465,-0.01212032717994671,0.07009051740169525,0.07707104881604512,40.001016059467375,0.03391603596585101
1981-09-08,0.08816999942064285,25446400,0.06752648949623108,-0.030672900504756906,0.07039587944746017,0.07647272795438767,39.43767444692591,0.03412717467148289
1981-09-09,0.08816999942064285,30531200,0.06752648949623108,0.0,0.07021272714648928,0.07597412268320719,40.580643824728575,0.033946233939311024
1981-09-10,0.08872800320386887,34809600,0.06795388460159302,0.006329295489080566,0.07009063128914152,0.07553249895572663,39.70705556387291,0.03404811447706328
1981-09-11,0.08761200308799744,17539200,0.0670991763472557,-0.012577768869997397,0.0692359230348042,0.0749626691142718,46.55224284770984,0.03365484359795271
1981-09-14,0.08482100069522858,27686400,0.06496162712574005,-0.0318565642363966,0.06789269936936242,0.07427885284026464,50.943354027788196,0.03403885362692644
1981-09-15,0.08258900046348572,19510400,0.06325220316648483,-0.026314364877998653,0.06685473344155721,0.07356654430429141,43.39523905691568,0.03382747010332779
1981-09-16,0.08091499656438828,19353600,0.06197015196084976,-0.020268878259633305,0.06575571745634079,0.07276876692970594,43.396709250221775,0.03377986308462641
1981-09-17,0.07868299633264542,19376000,0.06026073545217514,-0.027584513747111017,0.06471775259290423,0.07182853817939758,39.2865170043377,0.034051599254205686
1981-09-18,0.07924100011587143,26320000,0.060688089579343796,0.007091750938018615,0.06374083831906319,0.07097377888858318,30.611304608786725,0.03391933557292602
1981-09-21,0.07979899644851685,49033600,0.06111540645360947,0.007041198317949915,0.06276391286935125,0.07013326349357764,31.998902385915954,0.030970403044999865
1981-09-22,0.07533500343561172,47420800,0.057696569710969925,-0.055940669317722014,0.061420683349881856,0.06917878687381744,12.499502872443884,0.030401035473463657
1981-09-23,0.07366099953651428,28201600,0.05641454830765724,-0.02222006281716482,0.06019967209015574,0.06826704827447733,6.249780945679063,0.029674976956858154
1981-09-24,0.07310300320386887,18300800,0.0559871681034565,-0.0075757090506162195,0.05916180993829455,0.06739804397026698,7.499686743075927,0.029545426078550794
1981-09-25,0.06361600011587143,34608000,0.04872141033411026,-0.12977541132139647,0.05726913256304605,0.06637231881419818,5.454211200284007,0.04009683323222858
